Course ID,Course Subject,Course Number,Course Name,Career,Course Description
000026,ACCO,220,Financial and Managerial Accounting,UGRD,"This course provides an introduction to account­ing principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for plan­ning and control purposes. The role of accounting infor­mation in various manufacturing decisions is also highlighted."
000027,ACCO,230,Introduction to Financial Accounting,UGRD,"This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, mea­surement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions."
000028,ACCO,240,Introduction to Managerial Accounting,UGRD,"Prerequisite: ACCO 230. This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques."
000035,ACCO,310,Financial Reporting I,UGRD,"Prerequisite: COMM 305 previously or concurrently. Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income."
000043,ACCO,320,Financial Reporting II,UGRD,"Prerequisite: ACCO 310. This course continues the intensive study of ACCO 310, with partic­ular emphasis on accounting for liabilities, share­holders’ equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes."
000053,ACCO,330,Cost and Management Accounting,UGRD,"Prerequisite: COMM 305. This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accu­mulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing."
000055,ACCO,340,Income Taxation in Canada,UGRD,"Prerequisite: COMM 217. This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual."
000057,ACCO,350,Accounting and Information Technology,UGRD,"Prerequisite: COMM 226 or 301, 305. This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology."
000058,ACCO,355,Analysis of Financial Statements,UGRD,"Prerequisite: COMM 305, 308. This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial state­ment analysis are discussed and applied to case studies and actual companies."
000059,ACCO,365,U.S. Federal Taxation,UGRD,Prerequisite: COMM 217 or ACCO 230. This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.
000060,ACCO,400,Accounting Theory,UGRD,"Prerequisite: ACCO 320. This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized."
000086,ACCO,420,Financial Reporting III,UGRD,"Prerequisite: ACCO 320. This course examines the theory and practice of accounting for inter­corporate investments, business combinations, consolidation of financial statements, and foreign currency trans­actions and operations."
000089,ACCO,425,FINANCIAL REPORTING IV,UGRD,"Prerequisite: ACCO 320. This course addresses special topics in accounting including financial reporting for not-for-profit organizations and government entities. Governance, social responsibility concepts, and accountability frameworks are illustrated by comparing the practices of selected organizations with authoritative standards."
000092,ACCO,430,Advanced Management Accounting,UGRD,"Prerequisite: ACCO 330. The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and management’s need for both quantitative and qualitative information for planning, control, performance evaluation and decision making."
000097,ACCO,435,STRAT ACCTNG CASE ANALYSIS,UGRD,"Prerequisite: ACCO 320, 330; COMM 401 previously or concurrently. This course integrates topics in financial and management accounting, finance, and business strategy covered in previous courses. Students are involved in a case environment that requires them to analyze the external and internal environments of a business, perform financial analysis, evaluate alternatives, and recommend a plan of action. Students are introduced to enterprise resource planning (ERP) platforms used in companies, asset financing, and aspects of commercial lending to assess financing alternatives."
000098,ACCO,440,Advanced Taxation,UGRD,"Prerequisite: ACCO 340. This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders."
000104,ACCO,450,Assurance Services,UGRD,"This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.Prerequisite: ACCO 320 previously or concurrently."
000106,ACCO,455,Fraud Prevention and Investigation,UGRD,"Prerequisite: COMM 217, 315. This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors’ legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners."
000109,ACCO,465,Advanced Assurance Services,UGRD,"Prerequisite: ACCO 320, 360; or ACCO 450. This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors."
000173,ACCO,631,BUSINESS ADVISORY SERVICES,GRAD,Please see GRAD Calendar
000174,ACCO,635,INTEGRATED APPROACH TO AUDIT,GRAD,Please see GRAD Calendar
000178,ACCO,651,FINANCIAL REPORTING:COMP APP,GRAD,Please see GRAD Calendar
000182,ACCO,672,MANAGEMENT ACCOUNTING II,GRAD,Please see GRAD Calendar
000185,ACCO,681,FINAN L ACCO G/REPORT G III,GRAD,Please see GRAD Calendar
000186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,GRAD,Please see GRAD Calendar
000187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,GRAD,Please see GRAD Calendar
000189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,GRAD,Please see GRAD Calendar
000190,ACCO,691,SEMINAR-BUSINESS VALUATIONS,GRAD,Please see GRAD Calendar
000191,ACCO,695,SEMINAR IN SPECIAL TOPICS,GRAD,Please see GRAD Calendar
040004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,GRAD,Please see GRAD Calendar
040005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,GRAD,Please see GRAD Calendar
043001,ACCO,650,FINA REPORTING IN PRACTICE,GRAD,"The objective of this course is for the student to demonstrate a high level of competency in many financial accounting and reporting issues, within alternative accounting frameworks. Students are also introduced to the integration of several other competencies, including taxation and finance which help develop the student’s understanding of the implications of financial statement preparation on their users."
044001,ACCO,643X,SP TUTORIAL-INCOME TAXATION,GRAD,Please see GRAD Calendar
044002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,GRAD,Please see GRAD Calendar
044003,ACCO,651T,TUTORIAL IN FINA REP/COM APP,GRAD,Please see GRAD Calendar
044004,ACCO,653,INFO SYS/INTERNAL CONTROL,GRAD,Please see GRAD Calendar
